date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:52:59	333/333	---M-Z	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2011:20:53%20GMT	https://www.boombox-boxing.com/robots.txt		(from )
19:53:00	85179/85179	---M-Z	200	added ('OK')	text/html	etag:W/%22e7f310be72cbdbb4e13ff0e70bfc61ee%22	https://www.boombox-boxing.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web31/Site31/www.boombox-boxing.com/index.html	(from )
19:53:01	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Thu,%2027%20Oct%202022%2014:23:51%20GMT	http://static1.squarespace.com/static/5ace837a2487fdb13967b5b3/t/5c421311352f53944b03d41d/1547834146856/BOOMBOX-social-share.png?format=1500w	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web31/Site31/static1.squarespace.com/static/5ace837a2487fdb13967b5b3/t/5c421311352f53944b03d41d/1547834146856/BOOMBOX-social-share.026f7.delayed	(from https://www.boombox-boxing.com/)
19:53:03	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web31/Site31/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://www.boombox-boxing.com/)
19:53:03	17731/17731	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2027%20Oct%202022%2014:23:53%20GMT	http://use.typekit.net/ik/j6wvhnGhJLgafQ7ohxZMAFJBAqtn3LwtbWsnbXo_8uCfeTtIfFHN4UJLFRbh52jhWDmyjh9twDiywRbtFhZqjRID5QjajRmKwU7dMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0Scm1-AoydeblShuTie6liDyoFkoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0dcmXOeBDOcu8Oe4zdhuKda6ljcNt-Ao1OcFzdPUCdhFydeyzSabCScm1-AoydeblShuTie6liDyoFkoDSWmyScmDSeBRZPoRdhXCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoySkolZPUaiaS0jcNzdA4zpfuKdayTdcS0jhNlOYiaikokZAiTdcBCZfuDdA8X-fua5YqaO1FUiABkZWF3jAF8OcFzdPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPJ5Z1mXiW4yOWgXOA4zdebKfAZuiYmkjPu3ifGHf57MMyMMeMS6MKGHf50MMyMMegI6MKG4fJsmIMIjgfMfH6qJxubbMs6BJMJ7fbRKpsMgeMj6MTMg_o7SNb9.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web31/Site31/use.typekit.net/ik/j6wvhnGhJLgafQ7ohxZMAFJBAqtn3LwtbWsnbXo_8uCfeTtIfFHN4UJLFRbh52jhWDmyjh9twDiywRbtFhZqjRID5QjajRmKwU7dMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8i	(from https://www.boombox-boxing.com/)
19:53:06	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web31/Site31/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://www.boombox-boxing.com/)
19:53:06	45223/45223	---M-Z	200	added ('OK')	text/javascript	etag:%2282698f48d83d005c4819e4dd0bd24020%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-4c7614256537fb97cc5fb-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web31/Site31/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-4c7614256537fb97cc5fb-min.en-US.js	(from https://www.boombox-boxing.com/)
19:53:07	50070/50070	---M--	200	added ('OK')	image/png	etag:CJ+8ltGpx+sCEAE=	https://images.squarespace-cdn.com/content/5ace837a2487fdb13967b5b3/1547834129632-7XB7M3UJVYXB8BKPYKF3/BOOMBOX-social-share.png?format=1500w&content-type=image%2Fpng	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web31/Site31/images.squarespace-cdn.com/content/5ace837a2487fdb13967b5b3/1547834129632-7XB7M3UJVYXB8BKPYKF3/BOOMBOX-social-share2acd.png	(from https://www.boombox-boxing.com/)
19:53:10	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%226831fbfbcaefb323e1bca77209107e61%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web31/Site31/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	(from https://www.boombox-boxing.com/)
19:53:20	245971/245971	---M-Z	200	added ('OK')	text/javascript	etag:%22ff401016dabf83b96a4ad64dfbd64596%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day7/Web31/Site31/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	(from https://www.boombox-boxing.com/)
